"Crop","State","Season","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Production-2025-26","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25","Yield-2025-26"
"Bajra","Rajasthan","Total","37.36","45.71","42.88","43.82","39.09","37.40","51.05","44.30","50.27","40.34","1001.00","1117.00","1033.00","1147.00","1032.00"
"Bajra","Sikkim","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Bajra","Sikkim","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Bajra","Tamil Nadu","Kharif","0.60","0.32","0.33","0.39","0.17","1.46","0.87","1.05","1.03","0.40","2437.00","2719.00","3152.00","2652.00","2347.00"
"Bajra","Tamil Nadu","Summer","","0.13","0.14","0.13","","","0.26","0.12","0.21","","","2010.00","832.00","1597.00",""
"Bajra","Tamil Nadu","Total","0.60","0.45","0.48","0.52","0.17","1.46","1.13","1.17","1.24","0.40","2437.00","2515.00","2450.00","2384.00","2347.00"
"Bajra","Telangana","Kharif","0.04","0.04","0.05","0.07","0.06","0.04","0.12","0.17","0.07","0.15","1011.00","2952.00","3371.00","1030.00","2562.00"
"Bajra","Telangana","Total","0.04","0.04","0.05","0.07","0.06","0.04","0.12","0.17","0.07","0.15","1011.00","2952.00","3371.00","1030.00","2562.00"
"Bajra","Tripura","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Bajra","Tripura","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Bajra","Uttar Pradesh","Kharif","9.05","9.47","10.10","8.28","9.17","19.51","20.46","21.95","17.27","19.84","2156.00","2160.00","2173.00","2085.00","2164.00"
"Bajra","Uttar Pradesh","Summer","","","","1.03","","","","","1.65","","","","","1601.00",""
"Bajra","Uttar Pradesh","Total","9.05","9.47","10.10","9.31","9.17","19.51","20.46","21.95","18.92","19.84","2156.00","2160.00","2173.00","2032.00","2164.00"
"Bajra","Uttarakhand","Kharif","","","","","","0.00","","","","","","","","",""
"Bajra","Uttarakhand","Total","","","","","","0.00","","","","","","","","",""
"Bajra","West Bengal","Kharif","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","428.00","425.00","410.00","407.00",""
"Bajra","West Bengal","Total","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","428.00","425.00","410.00","407.00",""
"Bajra","Others","Kharif","","","","","0.24","","","","","0.19","","","","","787.00"
"Bajra","Others","Total","","","","","0.24","","","","","0.19","","","","","787.00"
"Bajra","All India","Kharif","68.41","71.72","69.66","68.38","62.44","97.81","103.49","96.63","99.78","88.36","1430.00","1443.00","1387.00","1459.00","1415.00"
"Bajra","All India","Summer","","4.00","4.08","5.20","","","10.82","10.53","12.27","","","2705.00","2579.00","2361.00",""
"Bajra","All India","Total","68.41","75.72","73.75","73.57","62.44","97.81","114.31","107.16","112.05","88.36","1430.00","1510.00","1453.00","1523.00","1415.00"
"Ragi","Andaman And Nicobar Islands","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Andaman And Nicobar Islands","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Andhra Pradesh","Kharif","0.30","0.27","0.27","0.23","0.27","0.31","0.32","0.34","0.33","0.39","1038.00","1185.00","1261.00","1456.00","1444.00"
"Ragi","Andhra Pradesh","Total","0.30","0.27","0.27","0.23","0.27","0.31","0.32","0.34","0.33","0.39","1038.00","1185.00","1261.00","1456.00","1444.00"
"Ragi","Arunachal Pradesh","Kharif","0.00","0.27","0.28","0.28","","0.00","0.28","0.29","0.29","","0.00","1036.00","1037.00","1038.00",""
"Ragi","Arunachal Pradesh","Total","0.00","0.27","0.28","0.28","","0.00","0.28","0.29","0.29","","0.00","1036.00","1037.00","1038.00",""
"Ragi","Assam","Kharif","","","0.01","0.02","","0.00","","0.01","0.02","","","","1029.00","940.00",""
"Ragi","Assam","Total","","","0.01","0.02","","0.00","","0.01","0.02","","","","1029.00","940.00",""
"Ragi","Bihar","Kharif","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","978.00","1003.00","871.00","981.00","883.00"
"Ragi","Bihar","Total","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","978.00","1003.00","871.00","981.00","883.00"
"Ragi","Chandigarh","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Chandigarh","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Chhattisgarh","Kharif","0.03","0.03","0.03","0.02","0.08","0.01","0.01","0.01","0.01","0.02","300.00","293.00","274.00","336.00","236.00"
"Ragi","Chhattisgarh","Total","0.03","0.03","0.03","0.02","0.08","0.01","0.01","0.01","0.01","0.02","300.00","293.00","274.00","336.00","236.00"
"Ragi","Dadra And Nagar Haveli","Kharif","0.01","0.01","0.01","0.01","","0.01","0.01","0.01","0.01","","1667.00","1656.00","1675.00","1675.00",""
"Ragi","Dadra And Nagar Haveli","Total","0.01","0.01","0.01","0.01","","0.01","0.01","0.01","0.01","","1667.00","1656.00","1675.00","1675.00",""
"Ragi","Daman And Diu","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Daman And Diu","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Delhi","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Delhi","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Goa","Kharif","","","","","","0.00","","","","","","","","",""
"Ragi","Goa","Total","","","","","","0.00","","","","","","","","",""
"Ragi","Gujarat","Kharif","0.10","0.10","0.10","0.10","0.09","0.09","0.08","0.08","0.08","0.06","900.00","812.00","820.00","835.00","727.00"
"Ragi","Gujarat","Total","0.10","0.10","0.10","0.10","0.09","0.09","0.08","0.08","0.08","0.06","900.00","812.00","820.00","835.00","727.00"
"Ragi","Haryana","Kharif","","","","","","0.00","","","","","","","","",""
"Ragi","Haryana","Total","","","","","","0.00","","","","","","","","",""
"Ragi","Himachal Pradesh","Kharif","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","937.00","850.00","770.00","770.00","797.00"
"Ragi","Himachal Pradesh","Total","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","937.00","850.00","770.00","770.00","797.00"
"Ragi","Jammu And Kashmir","Kharif","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","0.00","548.00","548.00","548.00",""
"Ragi","Jammu And Kashmir","Total","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","0.00","548.00","548.00","548.00",""
"Ragi","Jharkhand","Kharif","0.19","0.16","0.32","0.40","0.35","0.17","0.13","0.31","0.44","0.41","878.00","775.00","971.00","1106.00","1180.00"
"Ragi","Jharkhand","Total","0.19","0.16","0.32","0.40","0.35","0.17","0.13","0.31","0.44","0.41","878.00","775.00","971.00","1106.00","1180.00"
"Ragi","Karnataka","Kharif","8.46","8.12","8.27","8.79","9.52","11.27","11.48","10.35","13.59","14.39","1332.00","1414.00","1251.00","1546.00","1512.00"
"Ragi","Karnataka","Total","8.46","8.12","8.27","8.79","9.52","11.27","11.48","10.35","13.59","14.39","1332.00","1414.00","1251.00","1546.00","1512.00"
"Ragi","Kerala","Kharif","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1661.00","1696.00","1331.00","1615.00","1690.00"
"Ragi","Kerala","Total","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1661.00","1696.00","1331.00","1615.00","1690.00"
"Ragi","Ladakh","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Ladakh","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Lakshadweep","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Lakshadweep","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Madhya Pradesh","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Madhya Pradesh","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Maharashtra","Kharif","0.81","0.69","0.69","0.69","0.60","1.03","0.91","1.13","0.96","0.81","1263.00","1327.00","1635.00","1397.00","1355.00"
"Ragi","Maharashtra","Total","0.81","0.69","0.69","0.69","0.60","1.03","0.91","1.13","0.96","0.81","1263.00","1327.00","1635.00","1397.00","1355.00"
"Ragi","Manipur","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Manipur","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Meghalaya","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Meghalaya","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Mizoram","Kharif","","","","","","0.00","","","","","","","","",""
"Ragi","Mizoram","Total","","","","","","0.00","","","","","","","","",""
"Ragi","Nagaland","Kharif","0.00","0.00","0.00","0.01","","0.00","0.00","0.00","0.01","","644.00","966.00","860.00","955.00",""
"Ragi","Nagaland","Total","0.00","0.00","0.00","0.01","","0.00","0.00","0.00","0.01","","644.00","966.00","860.00","955.00",""
"Ragi","Odisha","Kharif","0.55","0.43","0.66","0.53","1.01","0.44","0.37","0.56","0.46","1.20","794.00","873.00","853.00","872.00","1187.00"
"Ragi","Odisha","Total","0.55","0.43","0.66","0.53","1.01","0.44","0.37","0.56","0.46","1.20","794.00","873.00","853.00","872.00","1187.00"
"Ragi","Puducherry","Kharif","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","2413.00","2403.00","2913.00","3000.00",""
"Ragi","Puducherry","Total","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","2413.00","2403.00","2913.00","3000.00",""
"Ragi","Punjab","Kharif","","","","","","0.00","","","","","","","","",""
"Ragi","Punjab","Total","","","","","","0.00","","","","","","","","",""
"Ragi","Rajasthan","Kharif","","","","","","0.00","","","","","","","","",""
"Ragi","Rajasthan","Total","","","","","","0.00","","","","","","","","",""
"Ragi","Sikkim","Kharif","0.02","0.00","0.02","0.02","","0.02","0.00","0.02","0.02","","1041.00","1043.00","1048.00","1048.00",""
"Ragi","Sikkim","Total","0.02","0.00","0.02","0.02","","0.02","0.00","0.02","0.02","","1041.00","1043.00","1048.00","1048.00",""
"Ragi","Tamil Nadu","Kharif","0.74","0.70","0.71","0.64","0.55","2.27","2.07","2.44","2.42","1.47","3056.00","2967.00","3432.00","3765.00","2648.00"
"Ragi","Tamil Nadu","Total","0.74","0.70","0.71","0.64","0.55","2.27","2.07","2.44","2.42","1.47","3056.00","2967.00","3432.00","3765.00","2648.00"
"Ragi","Telangana","Kharif","0.01","","","0.00","0.00","0.02","","","0.00","0.00","1647.00","","","917.00","968.00"
"Ragi","Telangana","Total","0.01","","","0.00","0.00","0.02","","","0.00","0.00","1647.00","","","917.00","968.00"
"Ragi","Tripura","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Tripura","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Ragi","Uttar Pradesh","Kharif","","","","","","0.00","","","","","","","","",""
"Ragi","Uttar Pradesh","Total","","","","","","0.00","","","","","","","","",""
"Ragi","Uttarakhand","Kharif","0.86","0.76","0.69","0.65","0.61","1.27","1.14","1.06","1.03","0.91","1478.00","1503.00","1540.00","1583.00","1476.00"
"Ragi","Uttarakhand","Total","0.86","0.76","0.69","0.65","0.61","1.27","1.14","1.06","1.03","0.91","1478.00","1503.00","1540.00","1583.00","1476.00"
"Ragi","West Bengal","Kharif","0.05","0.05","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","1176.00","1222.00","962.00","1012.00","1012.00"
"Ragi","West Bengal","Total","0.05","0.05","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","1176.00","1222.00","962.00","1012.00","1012.00"
"Ragi","Others","Kharif","","","","","0.32","","","","","0.33","","","","","1051.00"
"Ragi","Others","Total","","","","","0.32","","","","","0.33","","","","","1051.00"
"Ragi","All India","Kharif","12.18","11.63","12.15","12.48","13.49","17.01","16.91","16.70","19.77","20.07","1396.00","1454.00","1375.00","1584.00","1488.00"
"Ragi","All India","Total","12.18","11.63","12.15","12.48","13.49","17.01","16.91","16.70","19.77","20.07","1396.00","1454.00","1375.00","1584.00","1488.00"
"Small Millets","Andaman And Nicobar Islands","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Andaman And Nicobar Islands","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Andhra Pradesh","Kharif","0.14","0.11","0.13","0.31","0.10","0.13","0.09","0.11","0.26","0.09","929.00","860.00","902.00","848.00","891.00"
"Small Millets","Andhra Pradesh","Total","0.14","0.11","0.13","0.31","0.10","0.13","0.09","0.11","0.26","0.09","929.00","860.00","902.00","848.00","891.00"
"Small Millets","Arunachal Pradesh","Kharif","0.27","","","","","0.28","","","","","1033.00","","","",""
"Small Millets","Arunachal Pradesh","Total","0.27","","","","","0.28","","","","","1033.00","","","",""
"Small Millets","Assam","Kharif","0.05","0.06","0.08","0.07","0.05","0.03","0.05","0.06","0.06","0.04","664.00","799.00","740.00","776.00","761.00"
"Small Millets","Assam","Total","0.05","0.06","0.08","0.07","0.05","0.03","0.05","0.06","0.06","0.04","664.00","799.00","740.00","776.00","761.00"
"Small Millets","Bihar","Kharif","0.02","0.02","0.02","0.02","0.05","0.01","0.01","0.01","0.02","0.04","755.00","754.00","755.00","751.00","753.00"
"Small Millets","Bihar","Total","0.02","0.02","0.02","0.02","0.05","0.01","0.01","0.01","0.02","0.04","755.00","754.00","755.00","751.00","753.00"
"Small Millets","Chandigarh","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Chandigarh","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Chhattisgarh","Kharif","0.52","0.44","0.41","0.31","0.46","0.26","0.22","0.25","0.17","0.24","501.00","492.00","599.00","572.00","520.00"
"Small Millets","Chhattisgarh","Total","0.52","0.44","0.41","0.31","0.46","0.26","0.22","0.25","0.17","0.24","501.00","492.00","599.00","572.00","520.00"
"Small Millets","Dadra And Nagar Haveli","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Dadra And Nagar Haveli","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Daman And Diu","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Daman And Diu","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Delhi","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Delhi","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Goa","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Goa","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Gujarat","Kharif","0.12","0.08","0.12","0.14","0.11","0.23","0.16","0.29","0.30","0.25","1988.00","2055.00","2409.00","2165.00","2266.00"
"Small Millets","Gujarat","Total","0.12","0.08","0.12","0.14","0.11","0.23","0.16","0.29","0.30","0.25","1988.00","2055.00","2409.00","2165.00","2266.00"
"Small Millets","Haryana","Kharif","","","","","","0.00","","","","","","","","",""
"Small Millets","Haryana","Total","","","","","","0.00","","","","","","","","",""
"Small Millets","Himachal Pradesh","Kharif","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","680.00","691.00","691.00","692.00","691.00"
"Small Millets","Himachal Pradesh","Total","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","680.00","691.00","691.00","692.00","691.00"
"Small Millets","Jammu And Kashmir","Kharif","0.02","0.00","0.00","0.00","","0.01","0.00","0.00","0.00","","404.00","580.00","411.00","462.00",""
"Small Millets","Jammu And Kashmir","Total","0.02","0.00","0.00","0.00","","0.01","0.00","0.00","0.00","","404.00","580.00","411.00","462.00",""
"Small Millets","Jharkhand","Kharif","","","","","","0.00","","","","","","","","",""
"Small Millets","Jharkhand","Total","","","","","","0.00","","","","","","","","",""
"Small Millets","Karnataka","Kharif","0.29","0.32","0.29","0.51","0.27","0.24","0.25","0.22","0.74","0.35","823.00","792.00","746.00","1445.00","1293.00"
"Small Millets","Karnataka","Total","0.29","0.32","0.29","0.51","0.27","0.24","0.25","0.22","0.74","0.35","823.00","792.00","746.00","1445.00","1293.00"
"Small Millets","Kerala","Kharif","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1206.00","1250.00","905.00","1278.00","1280.00"
"Small Millets","Kerala","Total","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1206.00","1250.00","905.00","1278.00","1280.00"
"Small Millets","Ladakh","Kharif","0.00","","","0.00","","0.00","","","0.00","","0.00","","","796.00",""
"Small Millets","Ladakh","Total","0.00","","","0.00","","0.00","","","0.00","","0.00","","","796.00",""
"Small Millets","Lakshadweep","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Lakshadweep","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Madhya Pradesh","Kharif","0.89","1.45","1.40","1.06","1.04","0.77","1.41","1.36","1.04","1.02","860.00","970.00","971.00","981.00","980.00"
"Small Millets","Madhya Pradesh","Total","0.89","1.45","1.40","1.06","1.04","0.77","1.41","1.36","1.04","1.02","860.00","970.00","971.00","981.00","980.00"
"Small Millets","Maharashtra","Kharif","0.60","0.54","0.58","0.48","0.48","0.26","0.27","0.30","0.26","0.21","432.00","504.00","507.00","537.00","441.00"
"Small Millets","Maharashtra","Total","0.60","0.54","0.58","0.48","0.48","0.26","0.27","0.30","0.26","0.21","432.00","504.00","507.00","537.00","441.00"
"Small Millets","Manipur","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Manipur","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Meghalaya","Kharif","0.03","0.03","0.03","0.03","","0.03","0.03","0.03","0.03","","960.00","921.00","921.00","921.00",""
"Small Millets","Meghalaya","Total","0.03","0.03","0.03","0.03","","0.03","0.03","0.03","0.03","","960.00","921.00","921.00","921.00",""
"Small Millets","Mizoram","Kharif","","","","","","0.00","","","","","","","","",""
"Small Millets","Mizoram","Total","","","","","","0.00","","","","","","","","",""
"Small Millets","Nagaland","Kharif","0.07","0.10","0.14","0.15","","0.07","0.11","0.15","0.16","","980.00","1138.00","1130.00","1129.00",""
"Small Millets","Nagaland","Total","0.07","0.10","0.14","0.15","","0.07","0.11","0.15","0.16","","980.00","1138.00","1130.00","1129.00",""
"Small Millets","Odisha","Kharif","0.38","0.41","0.41","0.44","0.35","0.20","0.32","0.32","0.33","0.28","511.00","780.00","780.00","752.00","804.00"
"Small Millets","Odisha","Total","0.38","0.41","0.41","0.44","0.35","0.20","0.32","0.32","0.33","0.28","511.00","780.00","780.00","752.00","804.00"
"Small Millets","Puducherry","Kharif","0.00","","0.00","","","0.00","","0.00","","","1200.00","","1200.00","",""
"Small Millets","Puducherry","Total","0.00","","0.00","","","0.00","","0.00","","","1200.00","","1200.00","",""
"Small Millets","Punjab","Kharif","","","","","","0.00","","","","","","","","",""
"Small Millets","Punjab","Total","","","","","","0.00","","","","","","","","",""
"Small Millets","Rajasthan","Kharif","0.07","0.04","0.04","0.03","0.02","0.04","0.01","0.05","0.04","0.02","633.00","338.00","1094.00","1218.00","1238.00"
"Small Millets","Rajasthan","Total","0.07","0.04","0.04","0.03","0.02","0.04","0.01","0.05","0.04","0.02","633.00","338.00","1094.00","1218.00","1238.00"
"Small Millets","Sikkim","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Sikkim","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Small Millets","Tamil Nadu","Kharif","0.23","0.15","0.22","0.23","0.19","0.30","0.18","0.28","0.30","0.25","1298.00","1178.00","1270.00","1287.00","1291.00"
"Small Millets","Tamil Nadu","Total","0.23","0.15","0.22","0.23","0.19","0.30","0.18","0.28","0.30","0.25","1298.00","1178.00","1270.00","1287.00","1291.00"
"Small Millets","Telangana","Kharif","0.00","0.01","","0.00","0.00","0.00","0.01","","0.01","0.00","0.00","1048.00","","1881.00","1000.00"
"Small Millets","Telangana","Total","0.00","0.01","","0.00","0.00","0.00","0.01","","0.01","0.00","0.00","1048.00","","1881.00","1000.00"
"Small Millets","Tripura","Kharif","0.02","0.01","0.01","0.01","","0.01","0.01","0.01","0.01","","812.00","984.00","984.00","881.00",""
"Small Millets","Tripura","Total","0.02","0.01","0.01","0.01","","0.01","0.01","0.01","0.01","","812.00","984.00","984.00","881.00",""
"Small Millets","Uttar Pradesh","Kharif","0.07","0.10","0.49","0.33","0.33","0.05","0.08","0.42","0.28","0.28","662.00","764.00","865.00","856.00","856.00"
"Small Millets","Uttar Pradesh","Total","0.07","0.10","0.49","0.33","0.33","0.05","0.08","0.42","0.28","0.28","662.00","764.00","865.00","856.00","856.00"
"Small Millets","Uttarakhand","Kharif","0.47","0.39","0.40","0.40","0.32","0.73","0.62","0.62","0.53","0.38","1559.00","1578.00","1523.00","1332.00","1202.00"
"Small Millets","Uttarakhand","Total","0.47","0.39","0.40","0.40","0.32","0.73","0.62","0.62","0.53","0.38","1559.00","1578.00","1523.00","1332.00","1202.00"
"Small Millets","West Bengal","Kharif","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.01","1045.00","482.00","515.00","510.00","510.00"
"Small Millets","West Bengal","Total","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.01","1045.00","482.00","515.00","510.00","510.00"
"Small Millets","Others","Kharif","","","","","0.20","","","","","0.21","","","","","1061.00"
"Small Millets","Others","Total","","","","","0.20","","","","","0.21","","","","","1061.00"
"Small Millets","All India","Kharif","4.29","4.28","4.80","4.55","4.01","3.67","3.84","4.49","4.56","3.69","857.00","898.00","935.00","1001.00","921.00"
"Small Millets","All India","Total","4.29","4.28","4.80","4.55","4.01","3.67","3.84","4.49","4.56","3.69","857.00","898.00","935.00","1001.00","921.00"
"Shree Anna /Nutri Cereals","Andaman And Nicobar Islands","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Shree Anna /Nutri Cereals","Andaman And Nicobar Islands","Rabi","","","","","","0.00","","","","","","","","",""
"Shree Anna /Nutri Cereals","Andaman And Nicobar Islands","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Shree Anna /Nutri Cereals","Andhra Pradesh","Kharif","0.78","0.65","0.69","0.85","0.65","1.02","0.90","1.03","1.24","1.03","1307.00","1379.00","1490.00","1461.00","1587.00"
"Shree Anna /Nutri Cereals","Andhra Pradesh","Rabi","0.74","0.64","0.97","0.79","0.74","2.57","2.78","3.20","2.85","2.67","3476.00","4346.00","3306.00","3612.00","3612.00"
"Shree Anna /Nutri Cereals","Andhra Pradesh","Summer","","0.04","0.03","0.04","","","0.08","0.06","0.09","","","2027.00","2108.00","2241.00",""
"Shree Anna /Nutri Cereals","Andhra Pradesh","Total","1.52","1.33","1.69","1.68","1.39","3.59","3.76","4.29","4.18","3.70","2363.00","2826.00","2543.00","2491.00","2665.00"
"Shree Anna /Nutri Cereals","Arunachal Pradesh","Kharif","0.27","0.27","0.28","0.28","","0.28","0.28","0.29","0.29","","1033.00","1036.00","1037.00","1038.00",""
"Shree Anna /Nutri Cereals","Arunachal Pradesh","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Shree Anna /Nutri Cereals","Arunachal Pradesh","Total","0.27","0.27","0.28","0.28","","0.28","0.28","0.29","0.29","","1033.00","1036.00","1037.00","1038.00",""
"Shree Anna /Nutri Cereals","Assam","Kharif","0.05","0.06","0.09","0.09","0.05","0.03","0.05","0.07","0.07","0.04","664.00","799.00","775.00","806.00","761.00"
"Shree Anna /Nutri Cereals","Assam","Rabi","","","","","","0.00","","","","","","","","",""
"Shree Anna /Nutri Cereals","Assam","Total","0.05","0.06","0.09","0.09","0.05","0.03","0.05","0.07","0.07","0.04","664.00","799.00","775.00","806.00","761.00"
"Shree Anna /Nutri Cereals","Bihar","Kharif","0.08","0.07","0.07","0.09","0.11","0.09","0.07","0.07","0.09","0.10","1004.00","1003.00","962.00","962.00","899.00"
"Shree Anna /Nutri Cereals","Bihar","Rabi","","","","","","0.00","","","","","","","","",""
"Shree Anna /Nutri Cereals","Bihar","Total","0.08","0.07","0.07","0.09","0.11","0.09","0.07","0.07","0.09","0.10","1004.00","1003.00","962.00","962.00","899.00"
"Shree Anna /Nutri Cereals","Chandigarh","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Shree Anna /Nutri Cereals","Chandigarh","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Shree Anna /Nutri Cereals","Chandigarh","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Shree Anna /Nutri Cereals","Chhattisgarh","Kharif","0.57","0.48","0.45","0.33","0.55","0.28","0.24","0.26","0.18","0.27","495.00","495.00","581.00","561.00","480.00"
"Shree Anna /Nutri Cereals","Chhattisgarh","Rabi","","","","","","0.00","","","","","","","","",""
"Shree Anna /Nutri Cereals","Chhattisgarh","Total","0.57","0.48","0.45","0.33","0.55","0.28","0.24","0.26","0.18","0.27","495.00","495.00","581.00","561.00","480.00"
"Shree Anna /Nutri Cereals","Dadra And Nagar Haveli","Kharif","0.01","0.01","0.01","0.01","","0.01","0.02","0.02","0.02","","1667.00","1605.00","1624.00","1624.00",""
"Shree Anna /Nutri Cereals","Dadra And Nagar Haveli","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Shree Anna /Nutri Cereals","Dadra And Nagar Haveli","Total","0.01","0.01","0.01","0.01","","0.01","0.02","0.02","0.02","","1667.00","1605.00","1624.00","1624.00",""
"Shree Anna /Nutri Cereals","Daman And Diu","Kharif","0.00","","","","","0.01","","","","","1530.00","","","",""
"Shree Anna /Nutri Cereals","Daman And Diu","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Shree Anna /Nutri Cereals","Daman And Diu","Total","0.00","","","","","0.01","","","","","1530.00","","","",""
"Shree Anna /Nutri Cereals","Delhi","Kharif","0.04","0.04","0.04","0.04","","0.06","0.08","0.07","0.08","","1527.00","1726.00","1709.00","1723.00",""
"Shree Anna /Nutri Cereals","Delhi","Rabi","","","","","","0.00","","","","","","","","",""
"Shree Anna /Nutri Cereals","Delhi","Total","0.04","0.04","0.04","0.04","","0.06","0.08","0.07","0.08","","1527.00","1726.00","1709.00","1723.00",""
"Shree Anna /Nutri Cereals","Goa","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Shree Anna /Nutri Cereals","Goa","Rabi","","","","","","0.00","","","","","","","","",""
"Shree Anna /Nutri Cereals","Goa","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Shree Anna /Nutri Cereals","Gujarat","Kharif","4.96","2.20","2.39","2.11","2.04","11.62","3.76","4.12","3.74","2.88","2343.00","1707.00","1725.00","1774.00","1411.00"
"Shree Anna /Nutri Cereals","Gujarat","Rabi","0.15","0.13","0.23","0.13","0.15","0.17","0.21","0.41","0.24","0.28","1179.00","1577.00","1800.00","1773.00","1850.00"
"Shree Anna /Nutri Cereals","Gujarat","Summer","","3.18","3.23","3.29","","","9.67","9.55","9.49","","","3042.00","2960.00","2882.00",""
"Shree Anna /Nutri Cereals","Gujarat","Total","5.10","5.52","5.85","5.54","2.19","11.79","13.64","14.09","13.47","3.16","2310.00","2473.00","2410.00","2433.00","1441.00"
"Shree Anna /Nutri Cereals","Haryana","Kharif","5.06","5.53","5.47","5.92","5.28","11.32","12.14","11.71","12.86","12.90","2235.00","2195.00","2141.00","2171.00","2442.00"
"Shree Anna /Nutri Cereals","Haryana","Rabi","","","","","","0.00","","","","","","","","",""
