N,P,K,pH,Moisture,Rainfall,Humidity,Temperature,Label,Season,Soil_Type,Location,Sowing_Time,Fertilizer,Compost,Pest_Control
90,46,42,7.50283396,100,250.0832336,81.45061596,23.97898217,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
78,58,44,5.108681786,114,284.4364567,80.88684822,26.80079604,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
93,56,36,6.98435366,74,185.2773389,82.05687182,24.01497622,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
94,50,37,6.94801983,84,209.5869708,80.66385045,25.66585205,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
60,48,39,7.0422990689999985,92,231.0863347,80.30025587,24.28209415,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
85,38,41,6.2490506560000005,111,276.65524589999995,82.7883708,21.58711777,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
91,35,39,6.970859754,83,206.2611855,80.41817957,23.79391957,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
77,38,36,5.953933276,90,224.55501690000003,80.1923008,21.8652524,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
88,35,40,5.85393208,117,291.2986618000001,83.58760316,23.57943626,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
89,45,36,6.442475375,74,185.4974732,80.47476396,21.32504158,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
76,40,43,5.070175667,93,231.3843163,83.11713476,25.15745531,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
67,59,41,6.012632591,85,213.3560921,80.97384195,21.94766735,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
83,41,43,6.254028451,93,233.1075816,82.67839517,21.0525355,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
98,47,37,7.375482851,90,224.0581164,81.33265073,23.48381344,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
66,53,41,7.778915154,103,257.0038865,80.52389148,25.0756354,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
97,59,43,6.2865001760000006,109,271.35861370000003,84.04403589,26.35927159,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
97,50,41,7.070959995,104,260.2634026,80.54498576,24.52922681,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
60,49,44,6.244841491,96,240.0810647,84.49774397,20.77576147,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
84,51,35,6.043304899,79,197.9791215,80.64416466,22.30157427,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
73,57,41,5.824709117,109,272.2017204,84.94375962,21.44653958,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
92,35,40,6.3573893660000005,80,200.0882787,80.33127223,22.17931888,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
85,37,39,6.364134967999999,90,224.67572310000003,82.73685569,24.52783742,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
98,53,38,5.01450727,108,270.4417274,81.63895217,20.26707606,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
88,54,44,6.149410611,93,233.1321372,83.88266234,25.7354293,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
95,55,42,5.950660556,77,193.3473987,82.1480873,26.79533926,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
99,57,35,5.960370061,109,272.29990560000005,81.17734011,26.75754171,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
95,39,36,5.561398642,114,285.2493645,83.15250801,23.86330467,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
60,43,44,7.416245107000001,119,298.40184710000005,82.95221726,21.01944696,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
63,44,41,5.583370042,103,257.0343554,83.7287574,24.17298839,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
62,42,36,6.430010215,99,248.7183228,82.06719137,22.78133816,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
64,45,43,5.534878156,84,209.9001977,83.52842314,25.62980105,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
83,60,36,6.903985986,80,200.834898,80.14509262,25.59704938,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
82,40,40,6.271478837999999,119,298.5601175,84.81360127,23.83067496,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
85,52,45,7.224285503,106,265.5355937,82.36698992,26.31355498,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
91,35,38,6.13428721,73,183.6793207,80.52586088,24.8972823,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
76,49,42,5.206373153,79,196.95600080000003,84.47963372,24.958779,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
74,39,38,7.782051312999999,93,233.0453455,84.59201843,23.24113501,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
79,43,39,7.062779015,84,210.8142087,80.70960551,21.66628296,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
88,55,45,7.730367824,101,253.7202781,80.41363018,24.63544858,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
60,36,43,5.286203711000001,88,219.9048349,83.06310136,23.43121862,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
76,60,39,6.766240045,83,208.5810155,80.3477562,20.0454142,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
93,56,42,7.382762603,78,195.0948311,82.22572988,23.85724032,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
65,60,43,5.658169482000001,91,227.3637009,81.89918197,21.97199397,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
95,52,36,5.543360237999999,115,286.5083725,83.83625819,26.22916897,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
75,38,39,6.215109715,114,283.9338466,84.79352417,23.44676801,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
74,54,38,7.120272972,87,217.3788583,83.47021081,25.65553461,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
91,36,45,5.950647577000001,107,267.97619480000003,82.45432595,24.44345477,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
71,46,40,7.236705436,77,191.9535738,82.1235421,20.2801937,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
99,55,35,6.501697816,111,277.9626192,80.2389895,21.7238313,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
72,40,38,7.592490617,98,245.1511304,82.20802629,20.41447029,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
83,58,45,5.875345751,98,245.6626799,83.51827127,25.75528612,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
93,58,38,6.932400225,112,279.5451717,83.77345559,20.61521424,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
70,36,42,6.9462098810000015,81,202.3838319,80.72886384,21.84106875,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
76,47,42,5.739175027000001,105,263.6372176,83.29114712,20.08369642,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
99,41,36,6.738652179,73,182.5616319,82.74835604,24.45802087,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
99,54,37,5.5948196260000005,79,198.6730942,80.33502926,21.14347496,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
86,59,35,6.946636369,97,243.5120414,82.11124033,25.78720567,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
69,46,41,5.012139669,105,263.1103304,80.28597873,23.64124821,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
91,56,37,6.363472207999999,108,269.5039162,80.56887849,23.43191632,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
61,52,41,6.880431223,82,204.8001847,83.891805,24.97669518,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
67,45,38,7.300410836,104,260.8875056,82.17068809999998,22.72791041,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
79,42,37,6.587918707999999,118,295.6094492000001,82.84022551,24.87300744,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
78,43,42,7.283736617000001,77,192.3197536,83.00320459,21.32376327,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
75,54,36,7.023936392,103,257.4914906,84.56919326,26.29465461,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
97,36,45,6.939083505,111,278.0791793,81.85872947,22.2286982,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
67,47,44,7.868474653,112,280.4044392,81.78596776,26.73072391,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
73,35,38,5.005306977,74,185.9461429,81.97927117,24.88921174,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
77,36,37,6.136131869,78,194.5766559,81.46033732,26.88444878,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
81,41,38,7.5240800760000015,80,200.9133156,83.72874389,22.67846116,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
68,57,43,5.706943251,73,182.9043504,80.37979919,26.08867875,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
72,45,35,5.758506323,78,195.3574542,82.94682591,25.42977518,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
61,53,43,6.349606327,89,223.3671883,81.05635517,26.40323239,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
67,43,39,5.9999690260000005,75,186.7536773,84.96907151,26.04371967,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
67,58,39,5.453592032,88,220.1156708,80.54372813,25.2827223,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
66,60,38,6.372576327000001,93,231.7364957,83.47038318,22.08576562,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
82,43,38,5.105588355,97,242.3170629,81.43321641,23.28617173,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
84,50,44,5.9353444060000005,73,182.6549356,81.40633547,25.48591986,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
81,53,42,5.17782304,93,233.7034975,81.03569343,23.67575393,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
91,50,40,6.462391607000001,92,230.22422230000004,84.1341879,20.82477109,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
93,53,38,7.069172227,116,290.67937830000005,81.91411159,26.92995077,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
90,44,38,7.473134377,96,241.20135130000003,83.88387074,23.83509503,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
81,45,35,6.158376967000001,88,218.9163567,80.12267476,26.52872817,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
78,40,38,7.549873681,99,248.2256491,83.85642678,26.46428311,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
60,51,36,6.028321557999999,103,256.9964761,82.81088865,22.69657794,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
88,46,42,6.604993475,78,194.2651719,83.46358271,22.68319059,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
93,47,37,6.500343222000001,118,295.9248796,82.14004101,21.53346343,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
60,55,45,5.935745417000001,115,287.5766935000001,83.32931909999998,21.40865769,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
78,35,44,7.072655622,73,183.6222657,84.67353597,26.54348085,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
65,37,40,5.333322606,75,188.413665,83.59512273,23.35905428,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
71,54,16,5.7499144210000015,35,87.75953857,63.69070564,22.61359953,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
61,44,17,6.931756557999999,41,102.2662445,71.57476937,26.10018422,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
80,43,16,6.657964753,27,66.71995467,71.59351368,23.55882094,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
73,58,21,6.596060648,24,60.65171481,57.68272924,19.97215954,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
61,38,20,5.970458434,26,65.43835393,62.69503871,18.47891261,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
68,41,16,6.158830619,41,102.0861694,57.80840636,21.77689322,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
93,41,17,6.047906679,42,105.4654703,66.50415474,25.6217169,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
89,60,19,5.913664501,31,78.06639649,66.69029010000001,25.19192419,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
76,44,17,5.855442401,26,65.27798457,62.55424820000001,20.41683147,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
67,60,25,5.750254943,44,109.2162279,66.78627406,24.92162194,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
70,44,19,5.852607099,38,94.29712821,73.4541537,23.31689124,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
90,49,21,6.4725232870000005,30,74.05474936,68.3584573,24.84016732,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
62,52,16,6.9670577620000005,26,63.87020584,58.84015925,22.27526694,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
92,44,16,6.082973754,38,94.76189431,65.76816093,18.87751445,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
66,54,21,5.919045532,29,72.12375573,60.200168700000006,25.19008683,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
63,58,22,6.204747652999999,25,63.72358154,55.28220433,18.25405352,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
70,47,17,6.600827017,42,104.1626147,70.4162444,24.612911800000006,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
61,41,17,6.021902237000001,31,76.68456006,65.26185135,25.1420613,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
66,53,19,6.033550195,26,65.49730729,60.11593810000001,23.09348056,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
74,55,19,6.28886807,34,84.23613484,62.89366992,18.05033737,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
77,57,21,6.550563822999999,32,79.74078719,73.80435276,24.9321581,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
99,50,15,5.573286437,35,88.07753741,71.09445342,18.14710054,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
74,56,22,6.829199275,32,80.97573281,66.65952796,18.28362235,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
83,45,21,5.716222912,32,79.75328959999999,58.75082029,18.83344471,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
100,48,16,5.54990242,30,74.51490791,67.22190688,25.71895816,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
79,51,16,6.586244581,39,96.46380213,68.49835977,25.33797709,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
94,39,18,5.893093135,41,102.8301942,57.48775781,23.89114571,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
75,49,15,5.918263801,41,102.4852929,71.50905983,21.53574127,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
78,48,22,5.588650585,28,70.43473609,63.10459626,23.08974909,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
87,54,20,6.576418207000001,44,108.8303762,63.4711755,25.61707368,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
87,35,25,6.178056304,26,65.88951188,63.1621551,21.44526922,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
63,43,19,6.641906353,36,90.988051,55.53128131,18.51816776,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
84,57,25,6.489040367,26,64.40866039,67.99257471,22.53510514,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
64,35,23,5.680361037999999,25,63.03843397,61.89472002,23.02038334,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
60,46,22,6.625404347999999,35,87.9298085,65.61418761,24.89364635,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
98,44,21,6.524478032,43,107.4931917,74.089114,25.77175115,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
75,56,18,5.696205468,24,60.95197486,62.35750641,19.39851734,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
86,55,21,6.803931519,44,109.7515385,59.64024162,21.54156232,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
98,35,18,6.252797547999999,37,91.76337172,74.82913698,23.79746068,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
76,57,18,6.092725883,38,94.26249353,74.52600826,18.9802729,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
99,56,17,6.234330356,28,71.07562236,73.13112261,24.10859207,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
60,44,23,5.722579819,31,76.72860067,70.04556743,24.7947077,maize (corn),Kharif/Rabi/Summer,Loamy,Plains,May-Jun,Nitrogenous,Vermicompost,Fall Armyworm
